-0.00056458	0.00089931
0.0086107	0.0014143
0.056946	0.0068817
0.14734	0.070601
0.2814	0.27638
0.41729	0.49321
0.55082	0.53279
0.69879	0.41014
0.86943	0.25758
1.0518	0.20461
1.1946	0.33584
1.3558	0.68774
1.5365	1.0533
1.7076	1.0571
1.8852	0.76013
2.0393	0.44701
2.1692	0.31598
2.276	0.44001
2.3659	0.72673
2.4351	0.93411
2.485	0.90352
2.5123	0.61693
2.5161	0.30732
2.5038	0.10645
2.4757	0.10275
2.4272	0.20056
2.3624	0.26014
2.2862	0.23802
2.2028	0.11819
2.1075	-0.086662
2.0003	-0.25533
1.8846	-0.31496
1.7677	-0.2394
1.6531	-0.1897
1.5292	-0.23086
1.3947	-0.3065
1.2485	-0.38386
1.1118	-0.41086
0.99582	-0.3784
0.89027	-0.35051
0.79375	-0.3543
0.70651	-0.41724
0.62059	-0.46815
0.54506	-0.47059
0.46755	-0.43179
0.40382	-0.38006
0.34575	-0.34545
0.29072	-0.30562
0.24224	-0.29039
0.19651	-0.32299
0.15956	-0.35957
0.12497	-0.38678
0.094934	-0.37378
0.063798	-0.31231
0.038185	-0.22272
0.016482	-0.12874
-0.0020685	-0.096609
-0.015939	-0.12456
-0.02813	-0.17153
-0.036118	-0.1977
-0.041937	-0.13258
-0.043967	0.013264
-0.045293	0.20012
-0.044683	0.30564
-0.042897	0.25431
-0.040541	0.095966
-0.037105	-0.048934
-0.033785	-0.081769
-0.031011	0.0040102
-0.028419	0.11153
-0.026815	0.16395
-0.024913	0.099634
-0.024065	-0.029469
-0.023105	-0.15734
-0.021262	-0.22248
-0.018361	-0.20923
-0.016944	-0.13288
-0.015534	-0.051467
-0.013964	-0.040507
-0.012127	-0.11998
-0.0096931	-0.23727
-0.0082102	-0.33316
-0.007534	-0.34925
-0.0077543	-0.26658
-0.0086536	-0.12327
-0.0098715	-0.028276
-0.011378	-0.081383
-0.013046	-0.20854
-0.013928	-0.26978
-0.014216	-0.21069
-0.013875	-0.061505
-0.01296	0.080811
-0.012301	0.18883
